date, energy ,impact_e,lat,lat_dir,lon,lon_dir,alt,vel,
1/16/2020,59000000000,0.19,71.7,S,116.4,W,27.8,12.9,"375,000,000,000,000.00"
1/6/2020,45000000000,0.15,70.4,S,17.5,W,,,
12/21/2019,65000000000,0.21,56.5,N,147.6,W,35.5,22.2,
12/11/2019,39000000000,0.13,47.7,N,161.7,E,37,17.8,
12/6/2019,46000000000,0.15,3.3,S,37.7,W,19.5,,
12/3/2019,42000000000,0.14,5.6,N,52.2,W,61.5,,
11/28/2019,27000000000,0.095,35.7,N,31.7,W,35,13,
11/28/2019,26000000000,0.092,,,,,,,
11/28/2019,25000000000,0.089,22.1,S,25.7,E,22.5,24.7,
11/5/2019,1.09E+11,0.33,10.4,S,143.4,W,37,28.8,
10/22/2019,27000000000,0.095,12,N,76,W,40.7,,
10/10/2019,2.06E+11,0.57,44.3,N,122.9,E,47.3,14.1,
9/28/2019,23000000000,0.082,12.5,S,107.2,W,52,20.4,
9/27/2019,34000000000,0.12,25.7,N,28.4,W,,,
9/14/2019,1.09E+11,0.33,38.6,S,33.5,W,38,15.9,
9/13/2019,42000000000,0.14,18.6,S,126.9,E,27.4,13.5,
9/12/2019,1.69E+11,0.48,54.5,N,9.2,E,42,18.5,
9/12/2019,59000000000,0.19,24.9,N,47.8,W,30.6,17.2,
8/24/2019,40000000000,0.13,21.9,N,130.4,W,39.8,13.4,
8/22/2019,20000000000,0.073,24.4,S,92.9,W,30.2,,
8/16/2019,25000000000,0.089,38.9,N,7,E,36,14.9,
7/23/2019,2.55E+11,0.69,44.6,N,147.6,W,30.6,16.1,
6/30/2019,32000000000,0.11,21.2,N,129.5,W,59,42.3,
6/30/2019,21000000000,0.076,2.5,S,168.7,E,,,
6/22/2019,2.947E+12,6,14.9,N,66.2,W,25,14.9,
6/20/2019,28000000000,0.098,7.3,N,67.6,W,37,,
5/26/2019,42000000000,0.14,56.6,N,25.3,W,24.4,17.5,
5/25/2019,49000000000,0.16,19.2,S,89.4,E,29.2,15.8,
5/22/2019,95000000000,0.29,10.8,N,37.3,W,32.6,,
5/21/2019,6.56E+11,1.6,38.8,S,137.5,E,31.5,11.5,
5/19/2019,33000000000,0.11,23.6,S,132.8,E,33.3,15.2,
5/12/2019,21000000000,0.076,6.2,N,57.1,W,,,
5/4/2019,22000000000,0.079,28.4,N,88.3,W,26.5,,
4/22/2019,1.24E+11,0.37,48.8,S,67.8,E,33.3,11.4,
4/14/2019,29000000000,0.1,18.3,N,74.6,W,30.6,15.9,
4/6/2019,70000000000,0.22,56.5,N,94.9,E,41.5,18.1,
4/4/2019,28000000000,0.098,35.3,N,93.9,W,,,
3/27/2019,22000000000,0.079,41.8,S,7.4,W,,,
3/19/2019,20000000000,0.073,24,S,140.3,E,28.7,16.2,
3/15/2019,46000000000,0.15,63.7,N,95.7,E,31.5,14.4,
2/18/2019,1.958E+12,4.2,15.5,S,25.3,E,26,20.8,
2/1/2019,5.79E+11,1.4,22.5,N,83.8,W,23.7,16.3,
1/29/2019,25000000000,0.089,,,,,,,
1/22/2019,36000000000,0.12,18,N,6.5,E,42.5,11.6,
12/23/2018,89000000000,0.27,47.5,S,174.4,W,31.8,16.5,
12/18/2018,1.3E+14,173,56.9,N,172.4,E,25.6,32,
11/20/2018,4.22E+11,1.1,25.3,N,6.7,W,27.4,17.4,
11/17/2018,2.2E+11,0.61,47.3,N,172.9,W,32.5,19.1,
11/15/2018,20000000000,0.073,42,N,57,W,,,
11/14/2018,38000000000,0.13,37.6,S,83.5,E,37,,
10/24/2018,47000000000,0.16,6.7,S,148.6,W,33.3,,
10/22/2018,26000000000,0.092,,,,,,,
10/5/2018,38000000000,0.13,39.8,S,31.7,W,31.5,14.7,
9/25/2018,8.06E+11,1.9,23.5,S,56.8,E,33,16.5,
9/25/2018,53000000000,0.17,34.3,S,44.9,E,40.7,12.5,
9/20/2018,83000000000,0.26,67.3,S,75.1,E,,11.1,
9/17/2018,1.5E+11,0.43,6.8,S,27.8,W,,,
9/13/2018,42000000000,0.14,42.5,N,50.1,W,,,
8/27/2018,24000000000,0.086,1.7,S,141.4,E,33,16.1,
8/21/2018,22000000000,0.079,39.2,S,162.9,W,37,,
7/27/2018,1.05E+11,0.32,58.8,S,105.8,E,32,,
7/25/2018,8.77E+11,2.1,76.9,N,69,W,43.3,24.4,
7/17/2018,2.11E+11,0.59,82.5,N,136.7,W,,,
6/26/2018,29000000000,0.1,32,N,12.1,E,63,14.1,
6/21/2018,1.224E+12,2.8,52.8,N,38.1,E,27.2,14.4,
6/2/2018,3.75E+11,0.98,21.2,S,23.3,E,28.7,16.9,
5/12/2018,1.93E+11,0.54,6.5,S,173.7,E,34,,
5/8/2018,73000000000,0.23,32,N,60.7,W,,,
5/3/2018,38000000000,0.13,46.9,N,7.5,W,39,11.5,
4/30/2018,30000000000,0.1,45.5,S,1.4,W,34,13.1,
4/21/2018,36000000000,0.12,59,S,45.8,E,28.2,14.6,
4/19/2018,72000000000,0.23,7.5,N,3.6,E,30,20.9,
4/19/2018,5.12E+11,1.3,22.2,S,72.6,E,31.5,10.9,
4/7/2018,86000000000,0.27,72.4,N,78.7,W,31.5,,
2/21/2018,71000000000,0.22,13.5,S,37.1,W,31.5,13.1,
2/15/2018,27000000000,0.095,43.8,S,1.1,W,50.7,,
2/12/2018,39000000000,0.13,15.9,S,58.9,W,,,
2/8/2018,2.59E+11,0.7,42.9,N,179.7,E,43.5,,
2/1/2018,1.9E+11,0.53,19.4,S,104.3,E,37,16.5,
1/22/2018,32000000000,0.11,14,N,17.4,W,,,
1/15/2018,1.99E+11,0.56,52,S,57.2,E,43.6,23.7,
1/6/2018,28000000000,0.098,55.8,N,52.5,E,26,21,
1/6/2018,36000000000,0.12,39.5,S,12.8,E,26,,
12/31/2017,44000000000,0.15,63.5,S,101.3,W,64.5,,
12/29/2017,1.1E+11,0.33,14.6,N,49.5,W,38,,
12/28/2017,1.14E+11,0.34,,,,,,,
12/15/2017,3.114E+12,6.4,60.2,N,170,E,20,31.4,
11/19/2017,28000000000,0.098,24.2,S,135,E,33.3,11.4,
10/26/2017,5.58E+11,1.4,21.3,S,177.6,E,42.5,,
10/23/2017,24000000000,0.086,28.8,N,44.6,E,35.4,16.7,
10/15/2017,33000000000,0.11,65.2,S,128.2,E,24.1,15.9,
10/9/2017,30000000000,0.1,18.3,S,64.1,W,,,
10/4/2017,1.92E+11,0.54,28.1,N,99.4,E,37,14.6,
9/5/2017,38000000000,0.13,49.3,N,116.9,W,36,14.7,
7/31/2017,58000000000,0.19,24.7,N,118.5,W,,,
7/23/2017,35000000000,0.12,6.6,S,69.7,W,38,17.2,
7/13/2017,73000000000,0.23,23.1,N,60.7,E,35,13.7,
6/30/2017,94000000000,0.29,34.3,S,134.5,E,20,15.2,
6/23/2017,1.84E+11,0.52,57,N,143.7,E,35.1,24.3,
6/20/2017,6.36E+11,1.6,54.2,S,133,E,33.3,13.6,
5/24/2017,90000000000,0.28,9.1,S,101.8,E,46,18.4,
5/22/2017,35000000000,0.12,49.6,S,157.6,W,33,,
5/14/2017,35000000000,0.12,26,S,32.4,E,33,,
4/30/2017,1.5E+11,0.43,25.7,S,56.2,E,32.4,21.5,
3/11/2017,1.263E+12,2.9,28.3,N,60.2,W,28,,
3/9/2017,4E+11,1,40.5,N,18,W,23,36.5,
3/8/2017,72000000000,0.23,26.1,S,174.9,E,37,,
2/25/2017,65000000000,0.21,29.5,N,13.5,E,25.4,12.2,
2/22/2017,38000000000,0.13,50.7,S,66,W,,,
2/18/2017,2.95E+11,0.79,6.2,N,60.4,E,38,24.2,
2/7/2017,20000000000,0.073,27.4,S,14.8,W,54,,
2/6/2017,66000000000,0.21,10.4,N,131.6,E,33.5,,
12/23/2016,38000000000,0.13,21.3,N,49.3,E,42,29.7,
12/7/2016,1.17E+11,0.35,34.5,S,126.6,W,,,
11/29/2016,31000000000,0.11,30.6,S,93.1,W,,,
11/24/2016,1.38E+11,0.4,15.2,S,80.3,E,30.6,17.4,
11/3/2016,76000000000,0.24,39.6,S,16.3,W,37,,
10/1/2016,31000000000,0.11,36.2,N,6.7,E,27.8,14.2,
9/22/2016,71000000000,0.22,51.8,S,178.5,E,40,17.5,
9/14/2016,76000000000,0.24,3.5,S,44.6,E,54,18.3,
8/27/2016,1.42E+11,0.41,56.9,S,162.2,E,42,,
8/11/2016,1.84E+11,0.52,43.7,S,53.8,E,34.3,14.9,
8/5/2016,1.21E+11,0.36,46.4,N,171.6,E,32.4,,
7/21/2016,45000000000,0.15,7.8,N,1.6,W,37,,
7/5/2016,1.53E+11,0.44,1,N,48.6,E,38.2,25.1,
6/27/2016,4.58E+11,1.2,15.8,N,11.9,W,33.3,29.1,
6/5/2016,3.31E+11,0.87,17.4,S,138.3,E,28.7,14.5,
6/2/2016,1.72E+11,0.49,33.8,N,110.9,W,,,
5/29/2016,69000000000,0.22,10.2,N,48.8,W,32,,
5/20/2016,20000000000,0.073,32.8,S,15.1,E,30.6,20.8,
5/16/2016,5.19E+11,1.3,3.2,N,6.6,E,41.7,12.2,
5/13/2016,1.01E+11,0.31,26.2,N,122.3,W,33,,
4/24/2016,1.46E+11,0.42,9.8,N,42.8,W,50,,
4/18/2016,2.24E+11,0.62,20.7,N,14.5,W,31.5,17.1,
4/12/2016,20000000000,0.073,38.3,N,162.2,E,,,
4/10/2016,6.55E+11,1.6,22,N,149,E,35.2,15.1,
3/16/2016,32000000000,0.11,49.2,S,6.3,W,42,13.3,
3/3/2016,58000000000,0.19,48,S,51,E,31.8,11.7,
2/23/2016,35000000000,0.12,32.3,N,67.2,E,44,17.9,
2/21/2016,3.69E+11,0.96,36.5,N,37.2,W,32,,
2/19/2016,2.02E+11,0.56,0.7,N,11.6,W,39.4,15.5,
2/6/2016,6.853E+12,13,30.4,S,25.5,W,31,15.6,
1/27/2016,50000000000,0.16,45.8,S,53.6,E,37,11.5,
1/21/2016,46000000000,0.15,10.8,S,0.7,E,42.5,18.1,
12/30/2015,22000000000,0.079,33.8,N,160.7,W,39,,
12/21/2015,83000000000,0.26,5.9,N,143,E,42.2,12.1,
12/8/2015,1.97E+11,0.55,69.9,S,150.5,E,38,,
11/13/2015,1.02E+11,0.31,16,N,124.3,E,28,,
11/2/2015,78000000000,0.24,41.4,S,33,E,37,,
10/31/2015,97000000000,0.29,9,N,138,W,71,,
10/13/2015,23000000000,0.082,8,S,52.5,W,38.9,12.9,
10/11/2015,30000000000,0.1,55.4,S,18.8,W,,,
10/10/2015,36000000000,0.12,51,S,21.1,W,51.8,11.8,
10/4/2015,44000000000,0.15,22,N,171.6,W,36.1,,
9/17/2015,98000000000,0.3,43.1,S,94.9,E,,,
9/14/2015,70000000000,0.22,5.8,N,15.2,W,,,
9/8/2015,20000000000,0.073,6.3,N,29.9,E,44.4,16.1,
9/7/2015,1.798E+12,3.9,14.5,N,98.9,E,29.3,21,
9/2/2015,37000000000,0.13,39.1,N,40.2,E,39.8,24.1,
7/19/2015,23000000000,0.082,20.6,N,87.6,W,22,17.8,
7/12/2015,22000000000,0.079,31,N,159.6,E,41,,
7/4/2015,56000000000,0.18,38.6,N,103.1,E,46.3,49,
6/14/2015,71000000000,0.22,6.3,N,124.1,E,32.4,31.9,
6/12/2015,1.76E+11,0.5,1.3,S,32.1,W,43.5,,
6/10/2015,3.84E+11,1,11.5,S,161.9,W,61.1,,
6/2/2015,3.8E+11,0.99,6.4,S,142.7,W,,,
5/20/2015,36000000000,0.12,1,N,172.6,E,32.4,,
5/18/2015,43000000000,0.14,32.4,N,139.1,E,29,,
5/10/2015,1.43E+11,0.42,46.3,S,179.3,W,29.6,12.2,
5/7/2015,52000000000,0.17,21.5,S,29.3,W,37,17.3,
4/30/2015,1.05E+11,0.32,48.7,S,139.1,E,26.7,12.9,
4/21/2015,88000000000,0.27,37.7,N,39.6,W,37.4,21.3,
4/10/2015,65000000000,0.21,42.8,S,8.2,E,,,
4/8/2015,1.73E+11,0.49,25.5,S,51.5,E,36.3,19.2,
4/3/2015,42000000000,0.14,8.4,N,157.9,W,,,
3/30/2015,64000000000,0.2,36.1,S,5.5,W,33.1,13.8,
3/18/2015,1.21E+11,0.36,5.4,S,159.3,E,50,,
3/11/2015,72000000000,0.23,8,N,119.1,E,35.2,19.9,
3/8/2015,20000000000,0.073,39.1,S,118.6,W,,,
3/4/2015,55000000000,0.18,15.9,S,88.1,E,39.8,18,
2/26/2015,1.88E+11,0.53,68,N,149,W,33.7,21.1,
2/25/2015,58000000000,0.19,12.4,N,122.4,W,42,,
2/17/2015,33000000000,0.11,8,S,11.2,W,39,28.8,
1/9/2015,22000000000,0.079,23.3,S,49.2,W,,,
1/9/2015,1.39E+11,0.41,2,N,28.8,E,36,17.5,
1/7/2015,1.36E+11,0.4,45.7,N,26.9,E,45.5,35.7,
1/2/2015,20000000000,0.073,31.1,S,140,E,38.1,18.1,
12/13/2014,44000000000,0.15,86.7,N,162.1,W,30.7,21.7,
12/12/2014,33000000000,0.11,33.5,N,144.9,E,26.3,12,
12/9/2014,78000000000,0.24,76.6,N,96.3,E,26.3,,
11/28/2014,7E+11,1.7,45.8,S,172.7,W,26.1,13.4,
11/27/2014,55000000000,0.18,18.8,S,73.4,W,38,,
11/26/2014,1.18E+11,0.35,69.5,S,179.7,W,23.3,25.3,
11/26/2014,1.05E+11,0.32,68.2,S,24,W,37,19.9,
11/4/2014,1.56E+11,0.45,43.1,N,115.8,E,22.2,16,
10/21/2014,34000000000,0.12,22.2,N,132.9,W,,,
10/17/2014,72000000000,0.23,4.6,S,66.3,W,39,,
10/14/2014,29000000000,0.1,2,S,119.2,E,27.2,16.9,
10/6/2014,39000000000,0.13,43.7,S,85.7,E,,,
9/9/2014,28000000000,0.098,3.2,N,137.2,E,32.5,,
9/5/2014,35000000000,0.12,22.7,N,150,W,,,
8/29/2014,26000000000,0.092,6.2,S,49.9,W,,,
8/28/2014,34000000000,0.12,3.2,N,45.4,W,,,
8/23/2014,3.819E+12,7.6,61.7,S,132.6,E,22.2,16.2,
7/29/2014,73000000000,0.23,49.2,S,172.2,W,,,
7/29/2014,53000000000,0.17,33.9,S,115.9,W,,,
6/28/2014,2.45E+11,0.67,18.9,N,141.2,E,26.3,12.4,
6/26/2014,61000000000,0.2,71.5,S,93.4,E,28.5,11.2,
5/29/2014,58000000000,0.19,21.9,N,131.1,W,28.7,,
5/16/2014,1.36E+11,0.4,39.4,S,95.9,W,30.8,18,
5/16/2014,3.09E+11,0.82,44.2,S,176.2,W,44,16.5,
5/8/2014,1.05E+12,2.4,36.9,S,87.3,E,35.4,19,
3/29/2014,39000000000,0.13,28.7,S,121.5,E,30.7,16.3,
3/18/2014,5.4E+11,1.3,0,N,111.8,W,30.5,,
3/3/2014,94000000000,0.29,29,S,94.9,W,,,
2/18/2014,26000000000,0.092,32.8,S,61.5,W,,,
2/13/2014,6.3E+11,1.5,13.3,N,110.7,W,25,,
1/15/2014,1.4E+11,0.41,18.5,S,141.8,E,29.6,,
1/12/2014,78000000000,0.24,2.9,N,64.4,E,37,16.2,
1/8/2014,31000000000,0.11,1.3,S,147.6,E,18.7,44.8,
12/23/2013,1.47E+11,0.43,39.5,N,2,E,34.3,15.1,
12/8/2013,64000000000,0.2,32.8,N,165.1,W,23.5,11.8,
11/21/2013,75000000000,0.23,44.7,N,35.3,E,59.3,12.4,
10/12/2013,1.61E+12,3.5,19.1,S,25,W,22.2,12.8,
10/9/2013,60000000000,0.19,,,,,,,
9/24/2013,1.6E+11,0.46,10.3,S,164.7,W,40.7,,
8/12/2013,44000000000,0.15,34.4,S,118.2,E,66.6,,
7/31/2013,39000000000,0.13,,,,,,,
7/31/2013,69000000000,0.22,31.8,S,137.1,E,29.1,17.8,
7/30/2013,3.9E+11,1,50.2,S,90.2,E,25.6,18.8,
7/27/2013,1.2E+11,0.36,0.3,N,156.2,E,26.5,22.1,
7/26/2013,20000000000,0.073,21,N,178.5,W,37,,
7/18/2013,22000000000,0.079,,,,,,,
6/13/2013,22000000000,0.079,,,,,,,
6/1/2013,34000000000,0.12,65.6,S,138.4,E,28.9,,
5/14/2013,20000000000,0.073,3,S,76.4,E,,,
4/30/2013,5.11E+12,10,35.5,N,30.7,W,21.2,12.1,
4/21/2013,1.066E+12,2.5,28.1,S,64.6,W,40.7,14.9,
3/12/2013,29000000000,0.1,32.7,S,17.1,E,26,,
2/20/2013,32000000000,0.1,23,S,38.8,W,,13.6,
2/15/2013,3.75E+14,440,54.8,N,61.1,E,23.3,18.6,
2/7/2013,65000000000,0.21,18.8,S,158.6,W,,,
1/25/2013,3.4E+12,6.9,60.3,N,64.6,W,,,
1/12/2013,48000000000,0.16,15.1,S,155.6,W,36.1,,
12/30/2012,1.98E+11,0.55,17.3,N,83.6,W,,,
12/18/2012,27000000000,0.095,,,,,,,
11/20/2012,25000000000,0.089,2.5,N,29.6,E,33.3,14.3,
11/20/2012,1.2E+11,0.36,8,S,86,W,,,
10/25/2012,30000000000,0.1,,,,,,,
10/19/2012,23000000000,0.082,75.4,S,49.6,E,29.3,13.2,
10/9/2012,2.1E+11,0.58,51.2,N,84.6,W,27.8,13.5,
10/3/2012,2.8E+11,0.75,41.5,S,21.9,W,,17,
10/2/2012,4.7E+11,1.2,8.1,S,111.9,W,35,15.4,
9/28/2012,38000000000,0.13,6.9,S,73.7,E,,,
9/18/2012,2.44E+11,0.67,1.2,N,52.2,W,28.1,18.3,
9/11/2012,52000000000,0.17,18.9,S,105.2,E,,,
9/10/2012,23000000000,0.082,69.8,S,111.7,W,23.8,16.9,
8/27/2012,68000000000,0.22,18.3,S,64.2,E,38.7,28.9,
8/26/2012,2.49E+11,0.68,11.8,N,117,E,36,12.7,
8/13/2012,33000000000,0.11,,,,,,,
7/27/2012,34000000000,0.12,63.1,N,172.3,E,27.2,,
7/25/2012,1.33E+11,0.39,36.4,N,41.5,E,26.8,18.5,
6/5/2012,24000000000,0.086,,,,,,,
5/25/2012,60000000000,0.19,41.8,S,36.2,W,,,
5/22/2012,2.11E+11,0.59,,,,,,,
5/15/2012,1.32E+11,0.39,61.8,S,135.5,W,33.3,17.1,
5/4/2012,2.29E+11,0.63,76.7,N,10.6,W,,,
4/23/2012,44000000000,0.15,36.2,N,107.4,E,25.2,,
4/21/2012,1.43E+11,0.42,15.8,S,174.8,W,,,
4/19/2012,30000000000,0.1,5.5,N,16.8,E,,,
4/2/2012,32000000000,0.11,28.1,N,95.2,W,,,
3/12/2012,99000000000,0.3,2.5,N,139.8,E,25,11.8,
3/3/2012,1.01E+11,0.31,7.8,N,2.7,E,20.4,,
3/1/2012,22000000000,0.079,46.9,N,29.8,W,,,
2/24/2012,37000000000,0.13,22.7,S,30.8,E,,,
2/17/2012,1.54E+11,0.44,3.2,S,39.9,W,45.6,,
2/12/2012,1.4E+11,0.41,31.7,S,54.9,E,61,,
2/4/2012,1.5E+11,0.43,32.4,N,0.1,E,34.2,12.2,
1/15/2012,21000000000,0.076,64.1,S,109.9,E,26.3,12.3,
1/11/2012,85000000000,0.26,32.2,N,88.5,E,,,
12/19/2011,1.35E+11,0.4,30.2,S,52.6,E,36.1,,
12/14/2011,50000000000,0.16,62.9,S,89.6,E,32.4,,
12/11/2011,29000000000,0.1,,,,,,,
11/20/2011,23000000000,0.082,27.9,S,116.3,E,,,
10/12/2011,36000000000,0.12,26.4,S,78.4,W,,,
9/13/2011,67000000000,0.21,19.9,S,13.8,W,21.3,16.7,
8/31/2011,27000000000,0.095,18.6,N,5.1,W,,,
8/20/2011,23000000000,0.082,27.2,S,2.8,W,,,
8/18/2011,23000000000,0.082,,,,,,,
8/11/2011,35000000000,0.12,,,,,,,
8/4/2011,28000000000,0.098,40.7,S,86.7,W,63,,
7/27/2011,44000000000,0.15,45.3,S,63.5,E,29.6,,
7/7/2011,33000000000,0.11,,,,,,,
7/5/2011,65000000000,0.21,29.1,N,139.7,E,40.7,,
7/4/2011,29000000000,0.1,51.7,S,175,E,,,
6/16/2011,24000000000,0.086,67.3,N,21.4,W,40.5,,
5/25/2011,2.28E+12,4.8,4.1,N,14,E,59,11.6,
5/16/2011,20000000000,0.073,1.2,S,92.8,E,,,
4/27/2011,2.2E+11,0.61,1.4,N,126.6,W,28.7,,
4/27/2011,24000000000,0.086,,,,,,,
4/17/2011,24000000000,0.086,,,,,,,
4/6/2011,1.48E+11,0.43,71.1,N,43.5,W,22.2,12.7,
3/24/2011,58000000000,0.19,0.6,N,127.5,W,59,,
3/23/2011,31000000000,0.11,,,,,,,
3/23/2011,22000000000,0.079,16.8,S,85.6,W,,,
3/1/2011,37000000000,0.13,53.5,N,103.9,E,30.6,11.9,
2/21/2011,39000000000,0.13,26.3,N,43.7,E,44.4,18,
2/12/2011,20000000000,0.073,7.8,N,95.3,W,,,
1/21/2011,72000000000,0.23,18.9,N,44.6,W,61,,
1/8/2011,29000000000,0.1,33.3,N,125.8,W,48,,
12/25/2010,2E+13,33,38,N,158,E,26,18.1,
12/14/2010,39000000000,0.13,4.9,S,175.5,E,24,,
12/9/2010,63000000000,0.2,54.5,S,169.7,W,66,,
12/1/2010,1.33E+11,0.39,72.5,S,144.9,E,33.3,,
11/21/2010,81000000000,0.25,1.9,N,143.3,E,50,,
11/19/2010,33000000000,0.11,10.3,S,148.8,E,30,,
11/10/2010,68000000000,0.22,74.5,N,77.7,W,,,
11/9/2010,86000000000,0.27,56.3,S,16.7,W,37,,
11/9/2010,20000000000,0.073,14,S,160,W,26,,
10/27/2010,1.45E+11,0.42,14.1,S,67.7,E,35.2,,
10/8/2010,20000000000,0.073,,,,,,,
9/24/2010,50000000000,0.16,67.4,S,50.6,W,,,
9/18/2010,67000000000,0.21,7.4,N,36.7,E,,,
9/8/2010,65000000000,0.21,13.9,S,65.5,W,46.3,,
9/5/2010,6.83E+11,1.7,25.9,S,49,E,35.2,,
9/3/2010,1.75E+12,3.8,61,S,146.7,E,33.3,12.3,
8/17/2010,21000000000,0.076,20.7,N,114.3,W,33.3,,
7/15/2010,24000000000,0.086,60.9,N,178.1,W,,,
7/6/2010,7.56E+12,14,34.1,S,174.5,W,26,15.7,
6/26/2010,1.13E+11,0.34,0.5,S,133.2,E,50,,
6/21/2010,1.63E+11,0.47,22.5,S,120.9,W,,,
6/17/2010,1.19E+11,0.35,26.1,S,100,E,42,,
4/17/2010,56000000000,0.18,13.1,N,173,W,,,
4/16/2010,8.44E+11,2,1.8,N,176.9,W,22.2,18.8,
4/6/2010,80000000000,0.25,52.8,N,146.5,W,,,
3/18/2010,1.75E+11,0.5,32.4,S,51.8,W,,,
3/15/2010,80000000000,0.25,,,,,,,
3/14/2010,42000000000,0.14,33.8,N,90.2,W,35.6,,
3/8/2010,30000000000,0.1,18.2,N,110.1,E,53,,
3/8/2010,3.23E+11,0.85,32,N,92.9,W,52,24.5,
2/28/2010,1.53E+11,0.44,48.7,N,21,E,37,15.1,
2/26/2010,2.37E+11,0.65,37.3,S,166,W,,,
2/24/2010,93000000000,0.28,2.6,S,102.2,W,,,
1/15/2010,4.92E+11,1.2,8.3,S,27,E,25,14,
12/31/2009,83000000000,0.26,,,,,,,
12/31/2009,1.02E+11,0.31,37.9,N,178.3,W,20.7,,
11/25/2009,64000000000,0.2,52.8,S,136.5,E,,,
11/21/2009,1E+13,18,22,S,29.2,E,38,32.1,
11/18/2009,85000000000,0.26,,,,,,,
11/18/2009,7.36E+11,1.8,40.4,N,113.2,W,31.5,,
11/14/2009,23000000000,0.082,,,,,,,
11/7/2009,22000000000,0.079,45.5,N,157.7,W,,,
11/7/2009,42000000000,0.14,24,N,64.1,E,37,,
10/11/2009,71000000000,0.22,78.3,S,70.2,E,27.8,,
10/8/2009,2E+13,33,4.2,S,120.6,E,19.1,19.2,
9/27/2009,89000000000,0.27,36,S,67.6,W,37,,
9/18/2009,1.44E+11,0.42,7.7,N,29.5,W,,,
9/4/2009,9.65E+11,2.3,42.5,N,110,E,28.3,24,
8/23/2009,2.8E+11,0.75,67.7,S,18.3,E,34,12.2,
7/31/2009,25000000000,0.089,8.9,N,121.9,W,,,
7/16/2009,7.27E+11,1.8,24.4,S,59.8,W,32.2,,
7/3/2009,27000000000,0.095,,,,,,,
6/27/2009,32000000000,0.11,26.6,S,12.6,W,26.1,15.2,
6/20/2009,27000000000,0.095,,,,,,,
6/18/2009,33000000000,0.11,23.7,S,16,W,57.4,,
6/9/2009,2.81E+11,0.76,54.9,N,152.7,W,34.2,,
5/31/2009,1.43E+11,0.42,19.7,N,121,W,,,
5/13/2009,73000000000,0.23,,,,,,,
5/4/2009,1.4E+11,0.41,36.4,N,160.4,W,40.7,,
4/20/2009,22000000000,0.079,6,N,84.3,E,,,
4/10/2009,2.7E+11,0.73,44.7,S,25.7,E,32.4,19.1,
3/4/2009,1.7E+11,0.48,,,,,,,
2/20/2009,50000000000,0.16,64.9,S,70,W,,,
2/7/2009,1.6E+12,3.5,56.6,N,69.8,E,40,15.4,
1/12/2009,48000000000,0.16,47.8,N,44.3,W,,,
1/10/2009,23000000000,0.082,64,S,122.8,E,26.5,,
12/24/2008,35000000000,0.12,68.9,S,102,W,21.1,24.1,
12/12/2008,2.16E+11,0.6,7,S,9.7,W,50,,
